Country,Type,Year,TWh,Popn,MWhPerCap,inc,Max,MaxYear,MaxPop,totalMWhPerCap,cleanMWhPerCap
Philippines,Gas,2010,0,93786878,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2011,0,95486521,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2012,0,97189306,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2013,0,98875328,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2014,0,100524887,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2015,0,102125514,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2016,0,103937216,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2017,0,105813317,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2018,0,107663686,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2019,0,109473986,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2020,0,111287623,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2021,0,113094332,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Gas,2022,0,114666324,0,0,0,1975,41873861,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1975,2.3,41873861,0.0549268671451147,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1976,2.8,42915004,0.06524524616145906,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1977,2.1,44033735,0.04769070804463896,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1978,2.8,45259302,0.06186573535756252,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1979,2.9,46522176,0.062335863223594704,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1980,3.5,47786288,0.07324276788354014,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
