Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
805,LAGUNA VERDE-1,BWR,Operational,ALTO LUCERO,777,1989-04-12,1989-04-12,MX
803,LAGUNA VERDE-2,BWR,Operational,ALTO LUCERO,775,1994-11-11,1994-11-11,MX
