Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
380,BEZNAU-1,PWR,Operational,BEZNAU,365,1969-07-17,1969-07-17,CH
380,BEZNAU-2,PWR,Operational,BEZNAU,365,1971-10-23,1971-10-23,CH
1060,GOESGEN,PWR,Operational,DAENIKEN,1010,1979-02-02,1979-02-02,CH
1275,LEIBSTADT,BWR,Operational,LEIBSTADT,1233,1984-05-24,1984-05-24,CH
7,LUCENS,HWGCR,Permanent Shutdown,1522 Lucens,6,1968-01-29,1968-01-29,CH
390,MUEHLEBERG,BWR,Permanent Shutdown,MUEHLEBERG,373,1971-07-01,1971-07-01,CH
