Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
12,BR-3,PWR,Permanent Shutdown,MOL,10,1962-10-10,1962-10-10,BE
454,DOEL-1,PWR,Operational,DOEL-BEVEREN,445,1974-08-28,1974-08-28,BE
454,DOEL-2,PWR,Operational,DOEL-BEVEREN,445,1975-08-21,1975-08-21,BE
1056,DOEL-3,PWR,Operational,DOEL-BEVEREN,1006,1982-06-23,1982-06-23,BE
1090,DOEL-4,PWR,Operational,DOEL-BEVEREN,1038,1985-04-08,1985-04-08,BE
1009,TIHANGE-1,PWR,Operational,TIHANGE,962,1975-03-07,1975-03-07,BE
1055,TIHANGE-2,PWR,Operational,TIHANGE,1008,1982-10-13,1982-10-13,BE
1089,TIHANGE-3,PWR,Operational,TIHANGE,1038,1985-06-15,1985-06-15,BE
