Country,Type,Year,TWh,Popn,MWhPerCap,inc,Max,MaxYear,MaxPop,totalMWhPerCap,cleanMWhPerCap
South Korea,Clean,2001,114.481745791,46927104,2.439565539586675,1.0478948453172061,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2002,122.3576078,47202476,2.5921862192144327,1.2381344318918939,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2003,134.589956514,47438860,2.8371245960379317,1.2958670996393413,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2004,135.0832092,47640617,2.835463050363097,1.1575976704986428,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2005,150.596609595,47813954,3.1496372292281034,1.4055903732116877,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2006,152.486357745,47965191,3.179104566580377,1.1410437755222507,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2007,147.015733214,48133503,3.0543327215141605,0.7428091177761873,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2008,154.74839680099998,48307699,3.2033899358568076,0.781201874349172,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2009,151.835522173,48489554,3.131303747875264,0.691738208288589,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2010,153.86805963674198,48686484,3.1603855319834135,0.5681993127689808,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2011,161.1064187279774,48939600,3.291943921241232,0.4548193252033004,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2012,156.3362010122404,49400155,3.164690495652097,0.32922744528899983,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2013,145.8890930087704,49868215,2.9254925809710732,-0.22414464825703018,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2014,162.9978808213748,50328243,3.238696030405329,0.05959146382495195,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2015,172.4805728731069,50787842,3.396099658518803,0.34176693700464256,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
South Korea,Clean,2016,172.04073930422234,51200960,3.360107687516452,0.1567177516596443,1.4055903732116877,2005,47813954,12.051164632172805,4.188378800129487
