Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
1194,BELARUSIAN-1,PWR,Operational,Ostrovets,1110,2020-11-03,2020-11-03,BY
1194,BELARUSIAN-2,PWR,Under Construction,Ostrovets,1110,,NA,BY
