Year,name,value,reactor
2002,Electricity Supplied (GWh),7449.79,DARLINGTON-4
2003,Reference Unit Power (MWe),881,DARLINGTON-4
2003,Annual Time Online (Hours),6320,DARLINGTON-4
2003,Electricity Supplied (GWh),5428.86,DARLINGTON-4
2004,Reference Unit Power (MWe),881,DARLINGTON-4
2004,Annual Time Online (Hours),8451,DARLINGTON-4
2004,Electricity Supplied (GWh),7321.13,DARLINGTON-4
2005,Reference Unit Power (MWe),878,DARLINGTON-4
2005,Annual Time Online (Hours),7617,DARLINGTON-4
2005,Electricity Supplied (GWh),6569.7,DARLINGTON-4
2006,Reference Unit Power (MWe),878,DARLINGTON-4
2006,Annual Time Online (Hours),8541,DARLINGTON-4
2006,Electricity Supplied (GWh),7449.44,DARLINGTON-4
2007,Reference Unit Power (MWe),878,DARLINGTON-4
2007,Annual Time Online (Hours),7170,DARLINGTON-4
2007,Electricity Supplied (GWh),6210.23,DARLINGTON-4
2008,Reference Unit Power (MWe),878,DARLINGTON-4
2008,Annual Time Online (Hours),8652,DARLINGTON-4
2008,Electricity Supplied (GWh),7525.46,DARLINGTON-4
2009,Reference Unit Power (MWe),878,DARLINGTON-4
2009,Annual Time Online (Hours),7892,DARLINGTON-4
2009,Electricity Supplied (GWh),6836.15,DARLINGTON-4
2010,Reference Unit Power (MWe),878,DARLINGTON-4
2010,Annual Time Online (Hours),6612,DARLINGTON-4
2010,Electricity Supplied (GWh),5633.65,DARLINGTON-4
2011,Reference Unit Power (MWe),878,DARLINGTON-4
2011,Annual Time Online (Hours),8760,DARLINGTON-4
2011,Electricity Supplied (GWh),7617.8,DARLINGTON-4
2012,Reference Unit Power (MWe),878,DARLINGTON-4
2012,Annual Time Online (Hours),8725,DARLINGTON-4
2012,Electricity Supplied (GWh),7557.72,DARLINGTON-4
2013,Reference Unit Power (MWe),878,DARLINGTON-4
2013,Annual Time Online (Hours),6132,DARLINGTON-4
2013,Electricity Supplied (GWh),5237.45,DARLINGTON-4
2014,Reference Unit Power (MWe),878,DARLINGTON-4
2014,Annual Time Online (Hours),8476,DARLINGTON-4
2014,Electricity Supplied (GWh),7302.71,DARLINGTON-4
2015,Reference Unit Power (MWe),878,DARLINGTON-4
2015,Annual Time Online (Hours),7490,DARLINGTON-4
2015,Electricity Supplied (GWh),6532.11,DARLINGTON-4
2016,Reference Unit Power (MWe),878,DARLINGTON-4
2016,Annual Time Online (Hours),6678,DARLINGTON-4
2016,Electricity Supplied (GWh),5774.65,DARLINGTON-4
2017,Reference Unit Power (MWe),878,DARLINGTON-4
2017,Annual Time Online (Hours),8684,DARLINGTON-4
2017,Electricity Supplied (GWh),7593.09,DARLINGTON-4
2018,Reference Unit Power (MWe),878,DARLINGTON-4
2018,Annual Time Online (Hours),8105,DARLINGTON-4
2018,Electricity Supplied (GWh),6993.41,DARLINGTON-4
2019,Reference Unit Power (MWe),878,DARLINGTON-4
2019,Annual Time Online (Hours),6248,DARLINGTON-4
2019,Electricity Supplied (GWh),5423.69,DARLINGTON-4
2020,Reference Unit Power (MWe),878,DARLINGTON-4
2020,Annual Time Online (Hours),8784,DARLINGTON-4
2020,Electricity Supplied (GWh),7294.39,DARLINGTON-4
2021,Reference Unit Power (MWe),878,DARLINGTON-4
2021,Annual Time Online (Hours),6865,DARLINGTON-4
2021,Electricity Supplied (GWh),5970.37,DARLINGTON-4
2022,Reference Unit Power (MWe),878,DARLINGTON-4
2022,Annual Time Online (Hours),8207,DARLINGTON-4
2022,Electricity Supplied (GWh),7159.58,DARLINGTON-4
2023,Reference Unit Power (MWe),878,DARLINGTON-4
2023,Annual Time Online (Hours),4778,DARLINGTON-4
2023,Electricity Supplied (GWh),4163.79,DARLINGTON-4
1967,Reference Unit Power (MWe),NA,DOUGLAS POINT
1967,Annual Time Online (Hours),NA,DOUGLAS POINT
1967,Electricity Supplied (GWh),NA,DOUGLAS POINT
1968,Reference Unit Power (MWe),NA,DOUGLAS POINT
1968,Annual Time Online (Hours),NA,DOUGLAS POINT
1968,Electricity Supplied (GWh),NA,DOUGLAS POINT
1969,Reference Unit Power (MWe),NA,DOUGLAS POINT
1969,Annual Time Online (Hours),NA,DOUGLAS POINT
1969,Electricity Supplied (GWh),NA,DOUGLAS POINT
1970,Reference Unit Power (MWe),220,DOUGLAS POINT
1970,Annual Time Online (Hours),5155,DOUGLAS POINT
1970,Electricity Supplied (GWh),916,DOUGLAS POINT
1971,Reference Unit Power (MWe),220,DOUGLAS POINT
1971,Annual Time Online (Hours),5345,DOUGLAS POINT
1971,Electricity Supplied (GWh),1044.5,DOUGLAS POINT
1972,Reference Unit Power (MWe),220,DOUGLAS POINT
1972,Annual Time Online (Hours),1796,DOUGLAS POINT
1972,Electricity Supplied (GWh),356.5,DOUGLAS POINT
1973,Reference Unit Power (MWe),208,DOUGLAS POINT
1973,Annual Time Online (Hours),5672,DOUGLAS POINT
1973,Electricity Supplied (GWh),1048.1,DOUGLAS POINT
1974,Reference Unit Power (MWe),207,DOUGLAS POINT
1974,Annual Time Online (Hours),6992,DOUGLAS POINT
1974,Electricity Supplied (GWh),1129.6,DOUGLAS POINT
1975,Reference Unit Power (MWe),206,DOUGLAS POINT
1975,Annual Time Online (Hours),6702,DOUGLAS POINT
1975,Electricity Supplied (GWh),1284.3,DOUGLAS POINT
1976,Reference Unit Power (MWe),206,DOUGLAS POINT
1976,Annual Time Online (Hours),5543,DOUGLAS POINT
1976,Electricity Supplied (GWh),1089.5,DOUGLAS POINT
1977,Reference Unit Power (MWe),206,DOUGLAS POINT
1977,Annual Time Online (Hours),5713,DOUGLAS POINT
1977,Electricity Supplied (GWh),772,DOUGLAS POINT
1978,Reference Unit Power (MWe),206,DOUGLAS POINT
1978,Annual Time Online (Hours),6712,DOUGLAS POINT
1978,Electricity Supplied (GWh),855.2,DOUGLAS POINT
1979,Reference Unit Power (MWe),206,DOUGLAS POINT
1979,Annual Time Online (Hours),8161,DOUGLAS POINT
1979,Electricity Supplied (GWh),1063.9,DOUGLAS POINT
1980,Reference Unit Power (MWe),130,DOUGLAS POINT
1980,Annual Time Online (Hours),2436,DOUGLAS POINT
1980,Electricity Supplied (GWh),310.5,DOUGLAS POINT
1981,Reference Unit Power (MWe),206,DOUGLAS POINT
1981,Annual Time Online (Hours),7981,DOUGLAS POINT
1981,Electricity Supplied (GWh),1109.4,DOUGLAS POINT
1982,Reference Unit Power (MWe),206,DOUGLAS POINT
1982,Annual Time Online (Hours),6703,DOUGLAS POINT
1982,Electricity Supplied (GWh),1343,DOUGLAS POINT
1983,Reference Unit Power (MWe),206,DOUGLAS POINT
1983,Annual Time Online (Hours),6860,DOUGLAS POINT
1983,Electricity Supplied (GWh),1401.2,DOUGLAS POINT
1984,Reference Unit Power (MWe),206,DOUGLAS POINT
1984,Annual Time Online (Hours),2664,DOUGLAS POINT
1984,Electricity Supplied (GWh),538.97,DOUGLAS POINT
1982,Reference Unit Power (MWe),NA,GENTILLY-2
1982,Annual Time Online (Hours),NA,GENTILLY-2
1982,Electricity Supplied (GWh),NA,GENTILLY-2
1983,Reference Unit Power (MWe),645,GENTILLY-2
1983,Annual Time Online (Hours),1580,GENTILLY-2
1983,Electricity Supplied (GWh),937.7,GENTILLY-2
1984,Reference Unit Power (MWe),645,GENTILLY-2
1984,Annual Time Online (Hours),6742,GENTILLY-2
1984,Electricity Supplied (GWh),3426.02,GENTILLY-2
1985,Reference Unit Power (MWe),645,GENTILLY-2
1985,Annual Time Online (Hours),6347,GENTILLY-2
1985,Electricity Supplied (GWh),3189.45,GENTILLY-2
1986,Reference Unit Power (MWe),645,GENTILLY-2
1986,Annual Time Online (Hours),7488,GENTILLY-2
1986,Electricity Supplied (GWh),3792.14,GENTILLY-2
1987,Reference Unit Power (MWe),640,GENTILLY-2
1987,Annual Time Online (Hours),7654,GENTILLY-2
1987,Electricity Supplied (GWh),4658.46,GENTILLY-2
1988,Reference Unit Power (MWe),640,GENTILLY-2
1988,Annual Time Online (Hours),8372,GENTILLY-2
1988,Electricity Supplied (GWh),5283.59,GENTILLY-2
1989,Reference Unit Power (MWe),640,GENTILLY-2
1989,Annual Time Online (Hours),7722,GENTILLY-2
1989,Electricity Supplied (GWh),4870.25,GENTILLY-2
1990,Reference Unit Power (MWe),640,GENTILLY-2
1990,Annual Time Online (Hours),7748,GENTILLY-2
1990,Electricity Supplied (GWh),4080.56,GENTILLY-2
1991,Reference Unit Power (MWe),640,GENTILLY-2
1991,Annual Time Online (Hours),6317,GENTILLY-2
1991,Electricity Supplied (GWh),3925.51,GENTILLY-2
1992,Reference Unit Power (MWe),640,GENTILLY-2
1992,Annual Time Online (Hours),7431,GENTILLY-2
1992,Electricity Supplied (GWh),4701.5,GENTILLY-2
1993,Reference Unit Power (MWe),685,GENTILLY-2
1993,Annual Time Online (Hours),7731,GENTILLY-2
1993,Electricity Supplied (GWh),4827.1,GENTILLY-2
1994,Reference Unit Power (MWe),635,GENTILLY-2
1994,Annual Time Online (Hours),8634,GENTILLY-2
1994,Electricity Supplied (GWh),5405.46,GENTILLY-2
1995,Reference Unit Power (MWe),635,GENTILLY-2
1995,Annual Time Online (Hours),7229,GENTILLY-2
1995,Electricity Supplied (GWh),4518.97,GENTILLY-2
1996,Reference Unit Power (MWe),635,GENTILLY-2
1996,Annual Time Online (Hours),8289,GENTILLY-2
1996,Electricity Supplied (GWh),5241.98,GENTILLY-2
1997,Reference Unit Power (MWe),635,GENTILLY-2
1997,Annual Time Online (Hours),6901,GENTILLY-2
1997,Electricity Supplied (GWh),4217.52,GENTILLY-2
1998,Reference Unit Power (MWe),635,GENTILLY-2
1998,Annual Time Online (Hours),6258,GENTILLY-2
1998,Electricity Supplied (GWh),3825.06,GENTILLY-2
1999,Reference Unit Power (MWe),635,GENTILLY-2
1999,Annual Time Online (Hours),6132,GENTILLY-2
1999,Electricity Supplied (GWh),3793.28,GENTILLY-2
2000,Reference Unit Power (MWe),635,GENTILLY-2
2000,Annual Time Online (Hours),7879,GENTILLY-2
2000,Electricity Supplied (GWh),4886.2,GENTILLY-2
2001,Reference Unit Power (MWe),635,GENTILLY-2
2001,Annual Time Online (Hours),7766,GENTILLY-2
2001,Electricity Supplied (GWh),4711.19,GENTILLY-2
2002,Reference Unit Power (MWe),635,GENTILLY-2
2002,Annual Time Online (Hours),7366,GENTILLY-2
2002,Electricity Supplied (GWh),4532.29,GENTILLY-2
2003,Reference Unit Power (MWe),635,GENTILLY-2
2003,Annual Time Online (Hours),5833,GENTILLY-2
2003,Electricity Supplied (GWh),3567.07,GENTILLY-2
2004,Reference Unit Power (MWe),635,GENTILLY-2
2004,Annual Time Online (Hours),7905,GENTILLY-2
2004,Electricity Supplied (GWh),4875.39,GENTILLY-2
2005,Reference Unit Power (MWe),635,GENTILLY-2
2005,Annual Time Online (Hours),7329,GENTILLY-2
2005,Electricity Supplied (GWh),4486.19,GENTILLY-2
2006,Reference Unit Power (MWe),635,GENTILLY-2
2006,Annual Time Online (Hours),7541,GENTILLY-2
2006,Electricity Supplied (GWh),4595.25,GENTILLY-2
2007,Reference Unit Power (MWe),635,GENTILLY-2
2007,Annual Time Online (Hours),7126,GENTILLY-2
2007,Electricity Supplied (GWh),4328.59,GENTILLY-2
2008,Reference Unit Power (MWe),635,GENTILLY-2
2008,Annual Time Online (Hours),6207,GENTILLY-2
2008,Electricity Supplied (GWh),3648.41,GENTILLY-2
2009,Reference Unit Power (MWe),635,GENTILLY-2
2009,Annual Time Online (Hours),6039,GENTILLY-2
2009,Electricity Supplied (GWh),3611.44,GENTILLY-2
2010,Reference Unit Power (MWe),635,GENTILLY-2
2010,Annual Time Online (Hours),5641,GENTILLY-2
2010,Electricity Supplied (GWh),3490.45,GENTILLY-2
2011,Reference Unit Power (MWe),635,GENTILLY-2
2011,Annual Time Online (Hours),5861,GENTILLY-2
2011,Electricity Supplied (GWh),3490.6,GENTILLY-2
2012,Reference Unit Power (MWe),635,GENTILLY-2
2012,Annual Time Online (Hours),7114,GENTILLY-2
2012,Electricity Supplied (GWh),3911.56,GENTILLY-2
1971,Reference Unit Power (MWe),NA,GENTILLY-1
1971,Annual Time Online (Hours),NA,GENTILLY-1
1971,Electricity Supplied (GWh),NA,GENTILLY-1
1972,Reference Unit Power (MWe),266,GENTILLY-1
1972,Annual Time Online (Hours),3658,GENTILLY-1
1972,Electricity Supplied (GWh),699.9,GENTILLY-1
1973,Reference Unit Power (MWe),250,GENTILLY-1
1973,Annual Time Online (Hours),0,GENTILLY-1
1973,Electricity Supplied (GWh),0,GENTILLY-1
1974,Reference Unit Power (MWe),250,GENTILLY-1
1974,Annual Time Online (Hours),0,GENTILLY-1
1974,Electricity Supplied (GWh),0,GENTILLY-1
1975,Reference Unit Power (MWe),250,GENTILLY-1
1975,Annual Time Online (Hours),0,GENTILLY-1
1975,Electricity Supplied (GWh),0,GENTILLY-1
1976,Reference Unit Power (MWe),250,GENTILLY-1
1976,Annual Time Online (Hours),0,GENTILLY-1
1976,Electricity Supplied (GWh),0,GENTILLY-1
1977,Reference Unit Power (MWe),250,GENTILLY-1
1977,Annual Time Online (Hours),525,GENTILLY-1
1977,Electricity Supplied (GWh),37.7,GENTILLY-1
1962,Reference Unit Power (MWe),NA,ROLPHTON NPD
1962,Annual Time Online (Hours),NA,ROLPHTON NPD
1962,Electricity Supplied (GWh),NA,ROLPHTON NPD
1963,Reference Unit Power (MWe),NA,ROLPHTON NPD
1963,Annual Time Online (Hours),NA,ROLPHTON NPD
1963,Electricity Supplied (GWh),NA,ROLPHTON NPD
1964,Reference Unit Power (MWe),NA,ROLPHTON NPD
1964,Annual Time Online (Hours),NA,ROLPHTON NPD
1964,Electricity Supplied (GWh),NA,ROLPHTON NPD
1965,Reference Unit Power (MWe),NA,ROLPHTON NPD
1965,Annual Time Online (Hours),NA,ROLPHTON NPD
1965,Electricity Supplied (GWh),NA,ROLPHTON NPD
1966,Reference Unit Power (MWe),NA,ROLPHTON NPD
1966,Annual Time Online (Hours),NA,ROLPHTON NPD
1966,Electricity Supplied (GWh),NA,ROLPHTON NPD
1967,Reference Unit Power (MWe),NA,ROLPHTON NPD
1967,Annual Time Online (Hours),NA,ROLPHTON NPD
1967,Electricity Supplied (GWh),NA,ROLPHTON NPD
1968,Reference Unit Power (MWe),NA,ROLPHTON NPD
1968,Annual Time Online (Hours),NA,ROLPHTON NPD
1968,Electricity Supplied (GWh),NA,ROLPHTON NPD
1969,Reference Unit Power (MWe),NA,ROLPHTON NPD
1969,Annual Time Online (Hours),NA,ROLPHTON NPD
1969,Electricity Supplied (GWh),NA,ROLPHTON NPD
1970,Reference Unit Power (MWe),NA,ROLPHTON NPD
1970,Annual Time Online (Hours),NA,ROLPHTON NPD
1970,Electricity Supplied (GWh),NA,ROLPHTON NPD
1971,Reference Unit Power (MWe),25,ROLPHTON NPD
1971,Annual Time Online (Hours),5408,ROLPHTON NPD
1971,Electricity Supplied (GWh),119.3,ROLPHTON NPD
1972,Reference Unit Power (MWe),25,ROLPHTON NPD
1972,Annual Time Online (Hours),2984,ROLPHTON NPD
1972,Electricity Supplied (GWh),69.4,ROLPHTON NPD
1973,Reference Unit Power (MWe),22,ROLPHTON NPD
1973,Annual Time Online (Hours),5191,ROLPHTON NPD
1973,Electricity Supplied (GWh),103,ROLPHTON NPD
1974,Reference Unit Power (MWe),22,ROLPHTON NPD
1974,Annual Time Online (Hours),7407,ROLPHTON NPD
1974,Electricity Supplied (GWh),158.3,ROLPHTON NPD
1975,Reference Unit Power (MWe),21,ROLPHTON NPD
1975,Annual Time Online (Hours),7379,ROLPHTON NPD
1975,Electricity Supplied (GWh),153.2,ROLPHTON NPD
1976,Reference Unit Power (MWe),22,ROLPHTON NPD
1976,Annual Time Online (Hours),8215,ROLPHTON NPD
1976,Electricity Supplied (GWh),177,ROLPHTON NPD
1977,Reference Unit Power (MWe),22,ROLPHTON NPD
1977,Annual Time Online (Hours),6348,ROLPHTON NPD
1977,Electricity Supplied (GWh),133.9,ROLPHTON NPD
1978,Reference Unit Power (MWe),22,ROLPHTON NPD
1978,Annual Time Online (Hours),6506,ROLPHTON NPD
1978,Electricity Supplied (GWh),136.7,ROLPHTON NPD
1979,Reference Unit Power (MWe),22,ROLPHTON NPD
1979,Annual Time Online (Hours),4652,ROLPHTON NPD
1979,Electricity Supplied (GWh),76.7,ROLPHTON NPD
1980,Reference Unit Power (MWe),22,ROLPHTON NPD
1980,Annual Time Online (Hours),7811,ROLPHTON NPD
1980,Electricity Supplied (GWh),167.9,ROLPHTON NPD
1981,Reference Unit Power (MWe),22,ROLPHTON NPD
1981,Annual Time Online (Hours),6438,ROLPHTON NPD
1981,Electricity Supplied (GWh),132.3,ROLPHTON NPD
1982,Reference Unit Power (MWe),22,ROLPHTON NPD
1982,Annual Time Online (Hours),7423,ROLPHTON NPD
1982,Electricity Supplied (GWh),154.1,ROLPHTON NPD
1983,Reference Unit Power (MWe),22,ROLPHTON NPD
1983,Annual Time Online (Hours),7142,ROLPHTON NPD
1983,Electricity Supplied (GWh),149.1,ROLPHTON NPD
1984,Reference Unit Power (MWe),22,ROLPHTON NPD
1984,Annual Time Online (Hours),6206,ROLPHTON NPD
1984,Electricity Supplied (GWh),122.64,ROLPHTON NPD
1985,Reference Unit Power (MWe),22,ROLPHTON NPD
1985,Annual Time Online (Hours),5889,ROLPHTON NPD
1985,Electricity Supplied (GWh),113.73,ROLPHTON NPD
1986,Reference Unit Power (MWe),21,ROLPHTON NPD
1986,Annual Time Online (Hours),7439,ROLPHTON NPD
1986,Electricity Supplied (GWh),146.22,ROLPHTON NPD
1987,Reference Unit Power (MWe),22,ROLPHTON NPD
1987,Annual Time Online (Hours),2843,ROLPHTON NPD
1987,Electricity Supplied (GWh),55.51,ROLPHTON NPD
1982,Reference Unit Power (MWe),516,PICKERING-5
1982,Annual Time Online (Hours),240,PICKERING-5
1982,Electricity Supplied (GWh),11.2,PICKERING-5
1983,Reference Unit Power (MWe),516,PICKERING-5
1983,Annual Time Online (Hours),6968,PICKERING-5
1983,Electricity Supplied (GWh),3202.4,PICKERING-5
1984,Reference Unit Power (MWe),516,PICKERING-5
1984,Annual Time Online (Hours),7035,PICKERING-5
1984,Electricity Supplied (GWh),3517.52,PICKERING-5
1985,Reference Unit Power (MWe),516,PICKERING-5
1985,Annual Time Online (Hours),6989,PICKERING-5
1985,Electricity Supplied (GWh),3366.5,PICKERING-5
1986,Reference Unit Power (MWe),516,PICKERING-5
1986,Annual Time Online (Hours),8057,PICKERING-5
1986,Electricity Supplied (GWh),4068.64,PICKERING-5
1987,Reference Unit Power (MWe),516,PICKERING-5
1987,Annual Time Online (Hours),7148,PICKERING-5
1987,Electricity Supplied (GWh),3600.1,PICKERING-5
1988,Reference Unit Power (MWe),516,PICKERING-5
1988,Annual Time Online (Hours),8683,PICKERING-5
1988,Electricity Supplied (GWh),4397.16,PICKERING-5
1989,Reference Unit Power (MWe),516,PICKERING-5
1989,Annual Time Online (Hours),6862,PICKERING-5
1989,Electricity Supplied (GWh),3400.76,PICKERING-5
1990,Reference Unit Power (MWe),516,PICKERING-5
1990,Annual Time Online (Hours),7821,PICKERING-5
1990,Electricity Supplied (GWh),3885,PICKERING-5
1991,Reference Unit Power (MWe),516,PICKERING-5
1991,Annual Time Online (Hours),5724,PICKERING-5
1991,Electricity Supplied (GWh),2887.06,PICKERING-5
1992,Reference Unit Power (MWe),516,PICKERING-5
1992,Annual Time Online (Hours),2621,PICKERING-5
1992,Electricity Supplied (GWh),1345.25,PICKERING-5
1993,Reference Unit Power (MWe),516,PICKERING-5
1993,Annual Time Online (Hours),8307,PICKERING-5
1993,Electricity Supplied (GWh),3841.81,PICKERING-5
1994,Reference Unit Power (MWe),516,PICKERING-5
1994,Annual Time Online (Hours),6196,PICKERING-5
1994,Electricity Supplied (GWh),3074.41,PICKERING-5
1995,Reference Unit Power (MWe),516,PICKERING-5
1995,Annual Time Online (Hours),7008,PICKERING-5
1995,Electricity Supplied (GWh),3372.87,PICKERING-5
1996,Reference Unit Power (MWe),516,PICKERING-5
1996,Annual Time Online (Hours),6429,PICKERING-5
1996,Electricity Supplied (GWh),3042.63,PICKERING-5
1997,Reference Unit Power (MWe),516,PICKERING-5
1997,Annual Time Online (Hours),7908,PICKERING-5
1997,Electricity Supplied (GWh),3924.89,PICKERING-5
1998,Reference Unit Power (MWe),516,PICKERING-5
1998,Annual Time Online (Hours),7296,PICKERING-5
1998,Electricity Supplied (GWh),3490.58,PICKERING-5
1999,Reference Unit Power (MWe),516,PICKERING-5
1999,Annual Time Online (Hours),5302,PICKERING-5
1999,Electricity Supplied (GWh),2511.57,PICKERING-5
2000,Reference Unit Power (MWe),516,PICKERING-5
2000,Annual Time Online (Hours),5457,PICKERING-5
2000,Electricity Supplied (GWh),2631.49,PICKERING-5
2001,Reference Unit Power (MWe),516,PICKERING-5
2001,Annual Time Online (Hours),5986,PICKERING-5
2001,Electricity Supplied (GWh),2980.21,PICKERING-5
2002,Reference Unit Power (MWe),516,PICKERING-5
2002,Annual Time Online (Hours),5565,PICKERING-5
2002,Electricity Supplied (GWh),2655.74,PICKERING-5
2003,Reference Unit Power (MWe),516,PICKERING-5
2003,Annual Time Online (Hours),6566,PICKERING-5
2003,Electricity Supplied (GWh),3294.96,PICKERING-5
2004,Reference Unit Power (MWe),516,PICKERING-5
2004,Annual Time Online (Hours),8264,PICKERING-5
2004,Electricity Supplied (GWh),4159.81,PICKERING-5
2005,Reference Unit Power (MWe),516,PICKERING-5
2005,Annual Time Online (Hours),4818,PICKERING-5
2005,Electricity Supplied (GWh),2352.79,PICKERING-5
2006,Reference Unit Power (MWe),516,PICKERING-5
2006,Annual Time Online (Hours),8113,PICKERING-5
2006,Electricity Supplied (GWh),4010.87,PICKERING-5
2007,Reference Unit Power (MWe),516,PICKERING-5
2007,Annual Time Online (Hours),5637,PICKERING-5
2007,Electricity Supplied (GWh),2567.59,PICKERING-5
2008,Reference Unit Power (MWe),516,PICKERING-5
2008,Annual Time Online (Hours),8357,PICKERING-5
2008,Electricity Supplied (GWh),4026.82,PICKERING-5
2009,Reference Unit Power (MWe),516,PICKERING-5
2009,Annual Time Online (Hours),6631,PICKERING-5
2009,Electricity Supplied (GWh),3140.88,PICKERING-5
2010,Reference Unit Power (MWe),516,PICKERING-5
2010,Annual Time Online (Hours),7645,PICKERING-5
2010,Electricity Supplied (GWh),3769.85,PICKERING-5
2011,Reference Unit Power (MWe),516,PICKERING-5
2011,Annual Time Online (Hours),4258,PICKERING-5
2011,Electricity Supplied (GWh),1973.46,PICKERING-5
2012,Reference Unit Power (MWe),516,PICKERING-5
2012,Annual Time Online (Hours),8725,PICKERING-5
2012,Electricity Supplied (GWh),4347.31,PICKERING-5
2013,Reference Unit Power (MWe),516,PICKERING-5
2013,Annual Time Online (Hours),5371,PICKERING-5
2013,Electricity Supplied (GWh),2603.23,PICKERING-5
2014,Reference Unit Power (MWe),516,PICKERING-5
2014,Annual Time Online (Hours),8760,PICKERING-5
2014,Electricity Supplied (GWh),4255.09,PICKERING-5
2015,Reference Unit Power (MWe),516,PICKERING-5
2015,Annual Time Online (Hours),5865,PICKERING-5
2015,Electricity Supplied (GWh),2932.28,PICKERING-5
2016,Reference Unit Power (MWe),516,PICKERING-5
2016,Annual Time Online (Hours),8784,PICKERING-5
2016,Electricity Supplied (GWh),4352.12,PICKERING-5
2017,Reference Unit Power (MWe),516,PICKERING-5
2017,Annual Time Online (Hours),5841,PICKERING-5
2017,Electricity Supplied (GWh),2883.68,PICKERING-5
2018,Reference Unit Power (MWe),516,PICKERING-5
2018,Annual Time Online (Hours),8615,PICKERING-5
2018,Electricity Supplied (GWh),4255.38,PICKERING-5
2019,Reference Unit Power (MWe),516,PICKERING-5
2019,Annual Time Online (Hours),5934,PICKERING-5
2019,Electricity Supplied (GWh),2978.82,PICKERING-5
2020,Reference Unit Power (MWe),516,PICKERING-5
2020,Annual Time Online (Hours),8520,PICKERING-5
2020,Electricity Supplied (GWh),4215.36,PICKERING-5
2021,Reference Unit Power (MWe),516,PICKERING-5
2021,Annual Time Online (Hours),6438,PICKERING-5
2021,Electricity Supplied (GWh),3187.45,PICKERING-5
2022,Reference Unit Power (MWe),516,PICKERING-5
2022,Annual Time Online (Hours),4852,PICKERING-5
2022,Electricity Supplied (GWh),2386.74,PICKERING-5
2023,Reference Unit Power (MWe),516,PICKERING-5
2023,Annual Time Online (Hours),8437,PICKERING-5
2023,Electricity Supplied (GWh),4208.08,PICKERING-5
1983,Reference Unit Power (MWe),516,PICKERING-6
1983,Annual Time Online (Hours),856,PICKERING-6
1983,Electricity Supplied (GWh),257.7,PICKERING-6
1984,Reference Unit Power (MWe),516,PICKERING-6
1984,Annual Time Online (Hours),7636,PICKERING-6
1984,Electricity Supplied (GWh),3816.08,PICKERING-6
1985,Reference Unit Power (MWe),516,PICKERING-6
1985,Annual Time Online (Hours),6540,PICKERING-6
1985,Electricity Supplied (GWh),3289.09,PICKERING-6
1986,Reference Unit Power (MWe),516,PICKERING-6
1986,Annual Time Online (Hours),6763,PICKERING-6
1986,Electricity Supplied (GWh),3395.22,PICKERING-6
1987,Reference Unit Power (MWe),516,PICKERING-6
1987,Annual Time Online (Hours),7791,PICKERING-6
1987,Electricity Supplied (GWh),3949.93,PICKERING-6
1988,Reference Unit Power (MWe),516,PICKERING-6
1988,Annual Time Online (Hours),8775,PICKERING-6
1988,Electricity Supplied (GWh),4496.76,PICKERING-6
1989,Reference Unit Power (MWe),516,PICKERING-6
1989,Annual Time Online (Hours),7794,PICKERING-6
1989,Electricity Supplied (GWh),3950.21,PICKERING-6
1990,Reference Unit Power (MWe),516,PICKERING-6
1990,Annual Time Online (Hours),7017,PICKERING-6
1990,Electricity Supplied (GWh),3473.45,PICKERING-6
1991,Reference Unit Power (MWe),516,PICKERING-6
1991,Annual Time Online (Hours),8721,PICKERING-6
1991,Electricity Supplied (GWh),4469.68,PICKERING-6
1992,Reference Unit Power (MWe),516,PICKERING-6
1992,Annual Time Online (Hours),7936,PICKERING-6
1992,Electricity Supplied (GWh),4050.47,PICKERING-6
1993,Reference Unit Power (MWe),516,PICKERING-6
1993,Annual Time Online (Hours),5506,PICKERING-6
1993,Electricity Supplied (GWh),2689.19,PICKERING-6
1994,Reference Unit Power (MWe),516,PICKERING-6
1994,Annual Time Online (Hours),8036,PICKERING-6
1994,Electricity Supplied (GWh),4043,PICKERING-6
1995,Reference Unit Power (MWe),516,PICKERING-6
1995,Annual Time Online (Hours),6962,PICKERING-6
1995,Electricity Supplied (GWh),3493.34,PICKERING-6
1996,Reference Unit Power (MWe),516,PICKERING-6
1996,Annual Time Online (Hours),5707,PICKERING-6
1996,Electricity Supplied (GWh),2591.65,PICKERING-6
1997,Reference Unit Power (MWe),516,PICKERING-6
1997,Annual Time Online (Hours),6841,PICKERING-6
1997,Electricity Supplied (GWh),3386.16,PICKERING-6
1998,Reference Unit Power (MWe),516,PICKERING-6
1998,Annual Time Online (Hours),6384,PICKERING-6
1998,Electricity Supplied (GWh),3130.15,PICKERING-6
1999,Reference Unit Power (MWe),516,PICKERING-6
1999,Annual Time Online (Hours),6863,PICKERING-6
1999,Electricity Supplied (GWh),3353.71,PICKERING-6
2000,Reference Unit Power (MWe),516,PICKERING-6
2000,Annual Time Online (Hours),6449,PICKERING-6
2000,Electricity Supplied (GWh),2738.74,PICKERING-6
2001,Reference Unit Power (MWe),516,PICKERING-6
2001,Annual Time Online (Hours),5286,PICKERING-6
2001,Electricity Supplied (GWh),2618.08,PICKERING-6
2002,Reference Unit Power (MWe),516,PICKERING-6
2002,Annual Time Online (Hours),7985,PICKERING-6
2002,Electricity Supplied (GWh),3982.31,PICKERING-6
2003,Reference Unit Power (MWe),516,PICKERING-6
