Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
636,CHINSHAN-1,BWR,Permanent Shutdown,SHIHMEN HSIANG,604,1977-11-16,1977-11-16,TW
636,CHINSHAN-2,BWR,Permanent Shutdown,SHIHMEN HSIANG,604,1978-12-19,1978-12-19,TW
985,KUOSHENG-1,BWR,Permanent Shutdown,KUOSHENG,985,1981-05-21,1981-05-21,TW
985,KUOSHENG-2,BWR,Operational,KUOSHENG,985,1982-06-29,1982-06-29,TW
951,MAANSHAN-1,PWR,Operational,HENG CHUN,936,1984-05-09,1984-05-09,TW
951,MAANSHAN-2,PWR,Operational,HENG CHUN,938,1985-02-25,1985-02-25,TW
