Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country,Start,StartCon,Dur
524,ONAGAWA-1,BWR,Permanent Shutdown,"ONAGAWA, ISHINOMAKI",498,1983-11-18,1983-11-18,JP,8 July 1980,1980-07-08,3.36438356164384
825,ONAGAWA-2,BWR,Operational,"ONAGAWA, ISHINOMAKI",796,1994-12-23,1994-12-23,JP,12 April 1991,1991-04-12,3.7013698630137
825,ONAGAWA-3,BWR,Operational,"ONAGAWA, ISHINOMAKI",796,2001-05-30,2001-05-30,JP,23 January 1998,1998-01-23,3.35068493150685
890,SENDAI-1,PWR,Operational,SATSUMASENDAI,846,1983-09-16,1983-09-16,JP,15 December 1979,1979-12-15,3.75616438356164
890,SENDAI-2,PWR,Operational,SATSUMASENDAI,846,1985-04-05,1985-04-05,JP,12 October 1981,1981-10-12,3.48219178082192
540,SHIKA-1,BWR,Operational,SHIKA-MACHI,505,1993-01-12,1993-01-12,JP,1 July 1989,1989-07-01,3.53698630136986
1206,SHIKA-2,BWR,Operational,SHIKA-MACHI,1108,2005-07-04,2005-07-04,JP,20 August 2001,2001-08-20,3.87397260273973
820,SHIMANE-2,BWR,Operational,MATSUE,789,1988-07-11,1988-07-11,JP,2 February 1985,1985-02-02,3.43835616438356
1373,SHIMANE-3,BWR,Under Construction,MATSUE,1325,NA,NA,JP,24 October 2006,2006-10-24,NA
460,SHIMANE-1,BWR,Permanent Shutdown,MATSUE,439,1973-12-02,1973-12-02,JP,2 July 1970,1970-07-02,3.42191780821918
826,TAKAHAMA-2,PWR,Operational,TAKAHAMA,780,1975-01-17,1975-01-17,JP,9 March 1971,1971-03-09,3.86301369863014
870,TAKAHAMA-3,PWR,Operational,TAKAHAMA,830,1984-05-09,1984-05-09,JP,12 December 1980,1980-12-12,3.40821917808219
870,TAKAHAMA-4,PWR,Operational,TAKAHAMA,830,1984-11-01,1984-11-01,JP,19 March 1981,1981-03-19,3.62465753424658
826,TAKAHAMA-1,PWR,Operational,TAKAHAMA,780,1974-03-27,1974-03-27,JP,25 April 1970,1970-04-25,3.92328767123288
166,TOKAI-1,GCR,Permanent Shutdown,TOKAI MURA,137,1965-11-10,1965-11-10,JP,1 March 1961,1961-03-01,4.6986301369863
1100,TOKAI-2,BWR,Operational,TOKAI MURA,1060,1978-03-13,1978-03-13,JP,3 October 1973,1973-10-03,4.44383561643836
579,TOMARI-1,PWR,Operational,TOMARI VILLAGE,550,1988-12-06,1988-12-06,JP,18 April 1985,1985-04-18,3.63835616438356
579,TOMARI-2,PWR,Operational,TOMARI VILLAGE,550,1990-08-27,1990-08-27,JP,13 June 1985,1985-06-13,5.20821917808219
912,TOMARI-3,PWR,Operational,TOMARI VILLAGE,866,2009-03-20,2009-03-20,JP,18 November 2004,2004-11-18,4.33698630136986
357,TSURUGA-1,BWR,Permanent Shutdown,TSURUGA CITY,340,1969-11-16,1969-11-16,JP,24 November 1966,1966-11-24,2.98082191780822
1160,TSURUGA-2,PWR,Operational,TSURUGA CITY,1108,1986-06-19,1986-06-19,JP,6 November 1982,1982-11-06,3.61917808219178
