Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
325,CHASNUPP-1,PWR,Operational,KUNDIAN,300,2000-06-13,2000-06-13,PK
325,CHASNUPP-2,PWR,Operational,KUNDIAN,300,2011-03-14,2011-03-14,PK
340,CHASNUPP-3,PWR,Operational,KUNDIAN,315,2016-10-15,2016-10-15,PK
340,CHASNUPP-4,PWR,Operational,KUNDIAN,313,2017-06-25,2017-06-25,PK
100,KANUPP-1,PHWR,Permanent Shutdown,Karachi,90,1971-10-18,1971-10-18,PK
1100,KANUPP-2,PWR,Operational,Karachi,1014,2021-03-18,2021-03-18,PK
1100,KANUPP-3,PWR,Operational,Karachi,1014,2022-03-04,2022-03-04,PK
