Country,Year,Type,TWh,Popn,MWhPerCap
Canada,1985,Gas,6.808,26021155.65769194,0.261633268312875
Canada,1985,Coal,79.44500000000001,26021155.65769194,3.0530926852403573
Canada,1985,Oil,6.777,26021155.65769194,0.26044192998771354
Canada,1985,Solar,0,26021155.65769194,0
Canada,1985,Wind,0.001,26021155.65769194,3.843026855359503e-5
Canada,1985,Hydro,303.64500000000004,26021155.65769194,11.669158894956364
Canada,1985,Nuclear,60.521,26021155.65769194,2.3258382831321245
Canada,1985,Biomass/Geo,1.677,26021155.65769194,0.06444756036437886
Canada,1985,SolarPlusWind,0.001,26021155.65769194,3.843026855359503e-5
Canada,1985,SolarPlusWindPlusBio,1.678,26021155.65769194,0.06448599063293246
Canada,1986,Gas,6.886,26338768.645440392,0.26143970861720833
Canada,1986,Coal,71.627,26338768.645440392,2.7194513518914873
Canada,1986,Oil,6.166,26338768.645440392,0.2341035787588886
Canada,1986,Solar,0,26338768.645440392,0
Canada,1986,Wind,0.001,26338768.645440392,3.7966847025444144e-5
Canada,1986,Hydro,310.635,26338768.645440392,11.79383152574884
Canada,1986,Nuclear,71.267,26338768.645440392,2.7057832869623275
Canada,1986,Biomass/Geo,1.865,26338768.645440392,0.07080816970245332
Canada,1986,SolarPlusWind,0.001,26338768.645440392,3.7966847025444144e-5
Canada,1986,SolarPlusWindPlusBio,1.8659999999999999,26338768.645440392,0.07084613654947877
Canada,1987,Gas,6.159,26656815.924936086,0.23104784972606465
Canada,1987,Coal,84.238,26656815.924936086,3.1600923470083186
Canada,1987,Oil,10.061,26656815.924936086,0.3774269225676143
Canada,1987,Solar,0,26656815.924936086,0
Canada,1987,Wind,0.001,26656815.924936086,3.751385772464112e-5
Canada,1987,Hydro,316.206,26656815.924936086,11.86210689567787
Canada,1987,Nuclear,77.261,26656815.924936086,2.8983581616634972
Canada,1987,Biomass/Geo,2.312,26656815.924936086,0.08673203905937026
Canada,1987,SolarPlusWind,0.001,26656815.924936086,3.751385772464112e-5
Canada,1987,SolarPlusWindPlusBio,2.3129999999999997,26656815.924936086,0.08676955291709489
Canada,1988,Gas,9.432,26975297.496179026,0.3496532337163665
Canada,1988,Coal,91.758,26975297.496179026,3.40155655421399
Canada,1988,Oil,11.842,26975297.496179026,0.4389942317291361
Canada,1988,Solar,0,26975297.496179026,0
Canada,1988,Wind,0.001,26975297.496179026,3.707095353226956e-5
Canada,1988,Hydro,307.435,26975297.496179026,11.396908599193292
Canada,1988,Nuclear,82.867,26975297.496179026,3.0719587063585814
Canada,1988,Biomass/Geo,2.485,26975297.496179026,0.09212131952768984
Canada,1988,SolarPlusWind,0.001,26975297.496179026,3.707095353226956e-5
Canada,1988,SolarPlusWindPlusBio,2.4859999999999998,26975297.496179026,0.09215839048122211
Canada,1989,Gas,14.835,27294213.359169208,0.5435218009320769
Canada,1989,Coal,91.73700000000001,27294213.359169208,3.3610420931652136
Canada,1989,Oil,18.174,27294213.359169208,0.6658554236696707
Canada,1989,Solar,0,27294213.359169208,0
Canada,1989,Wind,0.001,27294213.359169208,3.663780255693137e-5
Canada,1989,Hydro,290.44974444444443,27294213.359169208,10.64144038966673
Canada,1989,Nuclear,79.31684210526315,27294213.359169208,2.9059948004919325
Canada,1989,Biomass/Geo,3.477,27294213.359169208,0.12738963949045037
Canada,1989,SolarPlusWind,0.001,27294213.359169208,3.663780255693137e-5
Canada,1989,SolarPlusWindPlusBio,3.4779999999999998,27294213.359169208,0.12742627729300732
Canada,1990,Gas,9.654,27613563.513906635,0.34961079887925695
Canada,1990,Coal,82.22,27613563.513906635,2.9775222585304024
Canada,1990,Oil,16.468,27613563.513906635,0.5963735898014919
Canada,1990,Solar,0,27613563.513906635,0
Canada,1990,Wind,0.0019191919191919194,27613563.513906635,6.950178372397982e-5
Canada,1990,Hydro,295.6833232323233,27613563.513906635,10.707901683294603
Canada,1990,Nuclear,72.46,27613563.513906635,2.6240727663964116
Canada,1990,Biomass/Geo,3.954,27613563.513906635,0.14319050121903687
Canada,1990,SolarPlusWind,0.0019191919191919194,27613563.513906635,6.950178372397982e-5
Canada,1990,SolarPlusWindPlusBio,3.9559191919191923,27613563.513906635,0.14326000300276087
Canada,1991,Gas,8.622,27933347.96039131,0.30866332285788833
Canada,1991,Coal,88.485,27933347.96039131,3.1677191049733535
Canada,1991,Oil,14.135,27933347.96039131,0.5060259880069882
Canada,1991,Solar,0,27933347.96039131,0
Canada,1991,Wind,0.0019191919191919194,27933347.96039131,6.870611864762072e-5
Canada,1991,Hydro,307.27599191919194,27933347.96039131,11.000328079358784
Canada,1991,Nuclear,84.33894736842105,27933347.96039131,3.019292477507933
Canada,1991,Biomass/Geo,3.984,27933347.96039131,0.14262522364484195
Canada,1991,SolarPlusWind,0.0019191919191919194,27933347.96039131,6.870611864762072e-5
